Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,163.08999633789062,163.77000427246094,160.77000427246094,161.27999877929688,138.5189971923828,3394900
2012-01-04,160.52000427246094,161.5,159.7100067138672,160.83999633789062,138.14109802246094,1966100
2012-01-05,160.0500030517578,162.41000366210938,158.4499969482422,162.0800018310547,139.20614624023438,2887300
2012-01-06,161.86000061035156,163.00999450683594,160.7100067138672,161.92999267578125,139.07728576660156,2139500
2012-01-09,162.6999969482422,163.19000244140625,161.33999633789062,162.8300018310547,139.85023498535156,1944400
2012-01-10,164.7100067138672,165.35000610351562,164.42999267578125,165.05999755859375,141.7655792236328,3691200
2012-01-11,164.4600067138672,165.63999938964844,164.27000427246094,165.39999389648438,142.05755615234375,2241900
2012-01-12,165.85000610351562,165.94000244140625,163.9499969482422,165.72000122070312,142.3324432373047,1810200
2012-01-13,164.4600067138672,165.02000427246094,163.27999877929688,164.9499969482422,141.67105102539062,1556300
2012-01-17,166.3000030517578,166.8300018310547,164.8800048828125,165.13999938964844,141.8342742919922,1466600
2012-01-18,165.33999633789062,168.0,164.80999755859375,167.89999389648438,144.20469665527344,2866800
2012-01-19,168.61000061035156,169.64999389648438,168.08999633789062,169.25,145.36422729492188,1848000
2012-01-20,169.24000549316406,169.35000610351562,168.5399932861328,169.1300048828125,145.2611846923828,3096900
2012-01-23,169.1999969482422,170.50999450683594,167.89999389648438,169.13999938964844,145.26976013183594,2157700
2012-01-24,168.1999969482422,169.85000610351562,167.5500030517578,169.77999877929688,145.8194580078125,3080600
2012-01-25,169.66000366210938,171.85000610351562,168.7100067138672,171.52999877929688,147.3224334716797,3358600
2012-01-26,172.61000061035156,172.72000122070312,169.6300048828125,170.39999389648438,146.3519287109375,2595000
2012-01-27,169.63999938964844,171.6699981689453,169.61000061035156,171.44000244140625,147.24520874023438,1918700
2012-01-30,169.92999267578125,171.0,168.6699981689453,170.4199981689453,146.369140625,1803300
2012-01-31,171.64999389648438,171.7899932861328,169.39999389648438,170.0,146.0083465576172,1786000
2012-02-01,171.50999450683594,173.7100067138672,171.3300018310547,173.50999450683594,149.02304077148438,2786700
2012-02-02,173.83999633789062,174.6699981689453,173.33999633789062,173.89999389648438,149.3579559326172,2345300
2012-02-03,176.08999633789062,176.89999389648438,175.55999755859375,176.6300048828125,151.70274353027344,4465100
2012-02-06,175.80999755859375,176.6300048828125,175.58999633789062,176.47000122070312,151.5653076171875,1417200
2012-02-07,176.08999633789062,177.0800018310547,175.24000549316406,176.66000366210938,151.72850036621094,2798400
2012-02-08,177.0,177.77000427246094,175.74000549316406,177.0399932861328,152.0548095703125,1702300
2012-02-09,177.63999938964844,177.6999969482422,175.6199951171875,177.27000427246094,152.25244140625,2023100
2012-02-10,175.5,176.0800018310547,174.64999389648438,175.3300018310547,150.586181640625,2119500
2012-02-13,177.24000549316406,177.6699981689453,175.72000122070312,177.2100067138672,152.2008514404297,1663500
2012-02-14,176.4499969482422,177.1699981689453,175.8699951171875,177.1300048828125,152.1321258544922,2519400
2012-02-15,178.0800018310547,178.3300018310547,175.92999267578125,176.5800018310547,151.6597442626953,3267500
2012-02-16,176.7899932861328,179.4600067138672,176.7100067138672,179.33999633789062,154.03028869628906,3652600
2012-02-17,180.13999938964844,180.27999877929688,178.80999755859375,179.2100067138672,153.91860961914062,1664100
2012-02-21,179.52999877929688,179.82000732421875,177.6300048828125,178.4199981689453,153.24012756347656,2011900
2012-02-22,178.2100067138672,178.97000122070312,177.1199951171875,177.72999572753906,152.64747619628906,2915700
2012-02-23,177.7899932861328,179.32000732421875,176.74000549316406,179.16000366210938,153.87570190429688,3233600
2012-02-24,179.41000366210938,180.13999938964844,178.94000244140625,179.2100067138672,153.91860961914062,2827700
2012-02-27,177.92999267578125,180.0500030517578,176.75999450683594,179.24000549316406,153.94436645507812,2033800
2012-02-28,179.4199981689453,180.02000427246094,178.0,179.02000427246094,153.75540161132812,1750400
2012-02-29,179.2100067138672,180.02999877929688,177.42999267578125,177.6699981689453,152.5959014892578,2592600
2012-03-01,178.42999267578125,180.0399932861328,178.36000061035156,179.35000610351562,154.03884887695312,4011700
2012-03-02,179.05999755859375,179.6300048828125,177.1300048828125,177.85000610351562,152.7505645751953,2070100
